name,ring,quadrant,isNew,description
AWS EC2,adopt,platforms,TRUE,"Amazon Elastic Compute Cloud (Amazon EC2) provides scalable computing capacity in the Amazon Web Services (AWS) cloud. Using Amazon EC2 eliminates your need to invest in hardware up front, so you can develop and deploy applications faster. You can use Amazon EC2 to launch as many or as few virtual servers as you need, configure security and networking, and manage storage. Amazon EC2 enables you to scale up or down to handle changes in requirements or spikes in popularity, reducing your need to forecast traffic."
AWS Lambda,assess,platforms,TRUE,
AWS Route53,adopt,platforms,TRUE,
AWS Simple Queue Service (SQS),trial,platforms,TRUE,
AWS Simple Notification Service (SNS),trial,platforms,TRUE,
AWS Elastic Container Service (ECS),trial,platforms,TRUE,
AWS Elastic Load Balancing,adopt,platforms,TRUE,
AWS Fargate,hold,platforms,TRUE,
AWS CloudWatch,trial,platforms,TRUE,
AWS CloudTrail,adopt,platforms,TRUE,
AWS Config,trial,platforms,TRUE,
Terraform,adopt,platforms,TRUE,
AWS Service Catalog,assess,platforms,TRUE,
AWS Virtual Private Cloud (VPC),adopt,platforms,TRUE,
AWS API Gateway,assess,platforms,TRUE,
AWS Cognito,trial,platforms,TRUE,
AWS Key Management Service (KMS),adopt,platforms,TRUE,
AWS GuardDuty,assess,platforms,TRUE,
AWS Secrets Manager,assess,platforms,TRUE,
AWS Certificate Manager,adopt,platforms,TRUE,
AWS Simple Storage Service (S3),adopt,platforms,TRUE,
AWS Elastic File System (EFS),assess,platforms,TRUE,
AWS Relational Database Service (RDS),adopt,platforms,TRUE,
AWS DynamoDB,assess,platforms,TRUE,
Docker,adopt,platforms,TRUE,
Kubernetes,trial,platforms,TRUE,
Nomad,hold,platforms,TRUE,
Java EE,adopt,programming languages,TRUE,
Python,adopt,programming languages,TRUE,
NodeJS,adopt,programming languages,TRUE,
XPath,adopt,programming languages,TRUE,
XSLT,adopt,programming languages,TRUE,
Javascript,adopt,programming languages,TRUE,
Perl,adopt,programming languages,TRUE,
Bourne Shell,adopt,programming languages,TRUE,
Kotlin,assess,programming languages,TRUE,
AWK,adopt,programming languages,TRUE,
SQL,adopt,programming languages,TRUE,
C#,hold,programming languages,TRUE,
Scala,hold,programming languages,TRUE,
Groovy,adopt,programming languages,TRUE,
IgnoreMe,hold,tools,TRUE,
